char,pca_3,pca_5,pca_7
123,[-586.83780535  227.4582689  -355.45804776],[-586.83780535  227.4582689  -355.45804776   36.69323497  100.65516767],"[-586.83780535  227.4582689  -355.45804776   36.69323497  100.65516767
  312.50531311  -81.62475575]"
124,[-691.9174936   322.33179247 -335.87383754],[-691.9174936   322.33179247 -335.87383754   -2.34160762  179.89687317],"[-691.9174936   322.33179247 -335.87383754   -2.34160762  179.89687317
  259.68236195  -26.07166302]"
125,[-390.83094496   19.75690494 -426.35521321],[-390.83094496   19.75690494 -426.35521321  -13.96847375  110.85179712],"[-390.83094496   19.75690494 -426.35521321  -13.96847375  110.85179712
  356.03644089 -228.81811406]"
126,[-252.78973197  130.66853077 -222.79718878],[-252.78973197  130.66853077 -222.79718878   -3.22198447 -191.04267029],"[-252.78973197  130.66853077 -222.79718878   -3.22198447 -191.04267029
 -160.83780873 -271.72505955]"
161,[-666.3287518   234.28422245   14.54349403],[-666.3287518   234.28422245   14.54349403 -103.1449586    79.78828565],"[-666.3287518   234.28422245   14.54349403 -103.1449586    79.78828565
 -233.17381117  115.30856387]"
162,[-344.95143732 -149.66424161   18.90377815],[-344.95143732 -149.66424161   18.90377815  206.03092572   29.29223028],"[-344.95143732 -149.66424161   18.90377815  206.03092572   29.29223028
 -158.3507135   -39.39444164]"
163,[-276.06906585  -55.53641025  643.27722052],[-276.06906585  -55.53641025  643.27722052  -21.32225172   95.92468234],"[-276.06906585  -55.53641025  643.27722052  -21.32225172   95.92468234
  -13.15469908  182.68096119]"
164,[ 237.53411444 -432.46906772   41.69247048],[ 237.53411444 -432.46906772   41.69247048  312.84683586 -291.3867928 ],"[ 237.53411444 -432.46906772   41.69247048  312.84683586 -291.3867928
 -165.5545192    65.06658079]"
165,[-251.19101689   22.61093521 -183.35212105],[-251.19101689   22.61093521 -183.35212105  270.28832083 -307.84085826],"[-251.19101689   22.61093521 -183.35212105  270.28832083 -307.84085826
  276.82059652  472.58050541]"
166,[-557.00285307  283.14878375 -325.67756578],[-557.00285307  283.14878375 -325.67756578    3.63248005  197.04493425],"[-557.00285307  283.14878375 -325.67756578    3.63248005  197.04493425
  198.22810292 -317.87925179]"
167,[ -34.48954093 -407.23873584  -73.09117778],[ -34.48954093 -407.23873584  -73.09117778  160.06894142  -80.56184518],"[ -34.48954093 -407.23873584  -73.09117778  160.06894142  -80.56184518
   37.81725606   50.29391483]"
168,[-326.31922403  258.44782293    6.26880507],[-326.31922403  258.44782293    6.26880507 -138.78179213   34.23222844],"[-326.31922403  258.44782293    6.26880507 -138.78179213   34.23222844
  -67.27769864 -333.5765478 ]"
169,[202.86725379  68.95091803  75.08238242],[ 202.86725379   68.95091803   75.08238242  425.47591185 -215.85513629],"[ 202.86725379   68.95091803   75.08238242  425.47591185 -215.85513629
  -43.91634858  -19.26831039]"
170,[-347.71197972 -181.31737418  -18.86980564],[-347.71197972 -181.31737418  -18.86980564   16.01914143  146.63155519],"[-347.71197972 -181.31737418  -18.86980564   16.01914143  146.63155519
  148.27948577  196.81972037]"
171,[-270.3563333  -297.23036499  -78.1922538 ],[-270.3563333  -297.23036499  -78.1922538    50.14157648 -228.03171912],"[-270.3563333  -297.23036499  -78.1922538    50.14157648 -228.03171912
 -263.94397233   53.11786542]"
